,Title,Date,Venue,Link
0,Sweethearts,2023-04-22,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/sweethearts/151331
1,The Rookies 'Feed the Fire' album launch,2023-04-22,The Night Cat,https://www.moshtix.com.au/v2/event/the-rookies-feed-the-fire-album-launch/150591
2,"Objects of Desire - Presented by Aarti Jadu, Age of Foolishness and Fluxx",2023-04-22,Miscellania,https://events.humanitix.com/objects-of-desire
3,Forward Ever: A Celebration of Sound System Culture,2023-04-22,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/d7d5679e-3ee4-4a88-ae99-0dc5f93a2178?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
4,Rolling Stones Kooyong Anniversary (Matinee),2023-04-22,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/fbdd62a1-4095-4bf2-a746-c5f5e9bb0982?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
5,Lucid presents Sex Tags (DJ Sotofett + DJ Fett Burger) - ALL NIGHT LONG,2023-04-22,Sub Club,https://www.eventbrite.com.au/e/lucid-presents-sex-tags-dj-sotofett-dj-fett-burger-all-night-long-tickets-596276217217?aff=ebdssbdestsearch
6,Zuhair,2023-04-22,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/aec00707-bcd6-49ae-a815-7de91d0009aa?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
7,Skerzo,2023-04-22,280 Sydney Rd,https://www.eventbrite.com.au/e/skerzo-tickets-600007497577?aff=ebdssbdestsearch
8,THE MURLOCS - 'RAPSCALLION' AUS TOUR 2023,2023-04-22,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-murlocs-rapscallion-aus-tour-2023/148364
9,Beach Fossils (USA),2023-04-23,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/3293e2d9-593d-4ab8-b139-c0c2d818f6a5?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
10,Skyscraper Stan & the Commission Flats,2023-04-23,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/skyscraper-stan-the-commission-flats/151309
11,Domingo Latino - La Influencia,2023-04-23,The Night Cat,https://www.moshtix.com.au/v2/event/domingo-latino-la-influencia/151009
12,Neil Murray (Matinee Album Launch),2023-04-23,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/cc029316-089f-4689-b04d-ed08d5cdf5a3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
13,The Sheepdogs (CAN),2023-04-24,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/5a8d9236-7fed-4e98-a22c-3861225c8b69?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
14,Higher Intelligence Agency (DJ) + Paper-Cuts (Miscellania / Anzac Day Eve),2023-04-24,Miscellania,https://events.humanitix.com/higher-intelligence-agency-dj-paper-cuts-miscellania-anzac-day-eve
15,Pumpy's Pub Quiz (every Monday and Tuesday),2023-04-24,280 Sydney Rd,https://www.eventbrite.com.au/e/pumpys-pub-quiz-every-monday-and-tuesday-tickets-430652171237?aff=ebdssbdestsearch
16,Underground Lovers Moda Discoteca,2023-04-24,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/underground-lovers-moda-discoteca/149366
17,Human Love Quest,2023-04-25,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/human-love-quest/150216
18,Mudhoney (USA),2023-04-26,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/87fc75f3-9301-4b30-a552-49748da87844?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
19,Mudhoney (USA),2023-04-27,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/ae42ca9f-18c4-4321-93a3-b0a98e05ea62?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
20,FJ & The Switch,2023-04-27,280 Sydney Rd,https://www.eventbrite.com.au/e/fj-the-switch-tickets-609046774297?aff=ebdssbdestsearch
21,"blurr: hollvv, SUBJECT Δ +  3_c_e3, sandpit alias",2023-04-27,Miscellania,https://events.humanitix.com/blurr-hollvv-subject-d-3_c_e3-sandpit-alias
22,Martin Frawley,2023-04-27,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/martin-frawley/151004
23,Don Glori - Farewell Show,2023-04-27,The Night Cat,https://www.moshtix.com.au/v2/event/don-glori-farewell-show/151221
