,Title,Date,Venue,Link
0,Tim Freedman and Ollie Thorpe,2023-12-08,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/tim-freedman-and-ollie-thorpe/158543
1,"CONTENT.NET.AU presents They Hate Change (USA) w/ Mulalo & Mirasia (MC set), Teether & Kuya Neil, Khya & Son Ray",2023-12-08,Miscellania,https://events.humanitix.com/content-net-au-presents-they-hate-change-usa-w-mulalo-and-mirasia-mc-set-teether-and-kuya-neil-khya-and-son-ray
2,Society Of Beggars at The Retreat Hotel Brunswick,2023-12-08,280 Sydney Rd,https://www.eventbrite.com.au/e/society-of-beggars-at-the-retreat-hotel-brunswick-tickets-759240698367?aff=ebdssbdestsearch
3,Wrestlerock,2023-12-08,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/61bc7fc7-c347-462a-83e6-a5060f8f779d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
4,HYPER TOFF,2023-12-08,The Toff in Town,https://www.moshtix.com.au/v2/event/hyper-toff/159901
5,THNDO 'Along the Way' Single Launch Party (Rescheduled),2023-12-08,Howler,https://www.moshtix.com.au/v2/event/thndo-along-the-way-single-launch-party-rescheduled/157447
6,THE TALLEST MAN ON EARTH (SWE) - Henry St. Tour,2023-12-08,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-tallest-man-on-earth-swe-henry-st-tour/151774
7,Novel Presents Youngr,2023-12-08,The Night Cat,https://www.moshtix.com.au/v2/event/novel-presents-youngr/158180
8,"SPEED速度 4-Year Anniversary | Saturday 9th December 2023, 9 PM - 3 AM | MISC  BIG Fkn LENG, Cloudy Ku,  DJ Burnout, Hardik, Hextape",2023-12-09,Miscellania,https://events.humanitix.com/speed-4-year-anniversary-or-saturday-9th-december-2023-9-pm-3-am-or-misc-big-fkn-leng-cloudy-ku-dj-burnout-hardik-hextape
9,Planet Bitchy at The Retreat Hotel Brunswick,2023-12-09,280 Sydney Rd,https://www.eventbrite.com.au/e/planet-bitchy-at-the-retreat-hotel-brunswick-tickets-764241064597?aff=ebdssbdestsearch
10,Dimension (UK),2023-12-09,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/7be1398f-d2b5-440f-b00a-0aea3452d48d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
11,SOTV (Single Launch),2023-12-09,The Workers Club,https://tickets.oztix.com.au/outlet/event/862e4d4d-621c-40dd-852d-910d941dbf15?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
12,Novo Amor,2023-12-09,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/707df566-d747-41c3-ab22-bd19fb0bca47?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
13,Sidney Phillips “Crucify me in my Tommy and Lacoste” Single Launch,2023-12-09,The Toff in Town,https://www.moshtix.com.au/v2/event/sidney-phillips-“crucify-me-in-my-tommy-and-lacoste”-single-launch/159552
14,COLOMBIA Y BRASIL: CULTURA DEL SONIDO feat. EL GRAN MONO & SOLIDARITY SOUND SYSTEM,2023-12-09,Howler,https://www.moshtix.com.au/v2/event/colombia-y-brasil-cultura-del-sonido-feat-el-gran-mono-solidarity-sound-syste/157065
15,Sleeper Cell with DJ Assault USA,2023-12-09,The Night Cat,https://www.moshtix.com.au/v2/event/sleeper-cell-with-dj-assault-usa/158788
16,"Pigs, Pigs, Pigs, Pigs, Pigs, Pigs, Pigs (UK)",2023-12-09,Northcote Social Club,https://feelpresents.oztix.com.au/outlet/event/cb54b8b4-0224-4de4-973f-043f0cf7d28f?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
