Title,Date,Venue,Link
Zoë Fox and the Rocket Clocks - Kidz Mix family day!,2024-09-29,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/zoe-fox-and-the-rocket-clocks-kidz-mix-family-day/170497
Finn Clarke & Jenson Makin,2024-09-29,Gasometer (Upstairs),https://tickets.oztix.com.au/outlet/event/7ff4c683-854e-406c-a910-605760f44c6b?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Gasometer (Upstairs)
MARIANO MELLINO (AR) ▬ MELBOURNE,2024-09-29,Howler,https://www.moshtix.com.au/v2/event/mariano-mellino-ar-▬-melbourne/169863
Renegades of Wrestling | Fever Pitch,2024-09-29,Northcote Theatre,https://www.moshtix.com.au/v2/event/renegades-of-wrestling-fever-pitch/169967
Domingo Latino - Quarter Street,2024-09-29,The Night Cat,https://www.moshtix.com.au/v2/event/domingo-latino-quarter-street/171807
Anyway (Single Launch),2024-09-29,The Workers Club,https://tickets.oztix.com.au/outlet/event/31387405-745c-4eca-b232-9a641abae4cf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
NIEUW MONDAYS,2024-09-30,The Workers Club,https://tickets.oztix.com.au/outlet/event/aec78852-3452-48a4-b5ec-b0fd4d57dd10?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
"‘Social Sanctuary’ with Arbes, Hudson Macushla + Lacky Band",2024-09-30,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/819ff59b-4452-496e-ae4e-695f0ee43975?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
Grace Petrie (UK),2024-10-02,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/aed7df88-81e6-476f-98d5-02c9b6b8b789?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
THE MOTH - StorySLAM: STRANGE ENCOUNTERS,2024-10-02,Howler,https://www.moshtix.com.au/v2/event/the-moth-storyslam-strange-encounters/171487
Anne's Lace (Single Launch),2024-10-03,The Workers Club,https://tickets.oztix.com.au/outlet/event/b4013c30-b2ec-469f-9d71-b649f680706d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
NATHAN YOGURT PRESENTS: TWINK FARM,2024-10-03,Miscellania,https://events.humanitix.com/nathan-yogurt-presents-twink-farm?hxchl=mkt-sch
Not On Your Rider,2024-10-03,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/not-on-your-rider/170443
Lewis Garnham - Live Special Taping - Late Show,2024-10-03,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/29ac0369-06ec-44a6-9f80-fdad59771af8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
Noah and The Coldmen TAKE single launch,2024-10-03,Gasometer (Upstairs),https://tickets.oztix.com.au/outlet/event/f51e3a0b-0933-4e4b-9a89-7b0637e9e056?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Gasometer (Upstairs)
FLOW MOTION,2024-10-03,Kindred Bandroom,https://www.moshtix.com.au/v2/event/flow-motion/171690
The Whitlams (Love This City 25 Years),2024-10-03,Corner Hotel,https://tickets.oztix.com.au/outlet/event/14317207-b639-4646-b0b5-8e40ce940dc4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
Tentendo,2024-10-03,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/be03e314-9a08-494a-b675-f0984231d820?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
Thomeboydontkill 2024 World Tour (Melbourne),2024-10-03,170 Russell,https://www.moshtix.com.au/v2/event/thomeboydontkill-2024-world-tour-melbourne/171195
Nafe Smallz,2024-10-03,The Night Cat,https://www.moshtix.com.au/v2/event/nafe-smallz/168146
sleepmakeswaves 'Love of Cartography' 10th anniversary tour,2024-10-04,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/d73c3b16-1d02-45a3-a1d1-7b004c561a17?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
'The Spring Tour' ft. Drastic Park,2024-10-04,The Workers Club,https://tickets.oztix.com.au/outlet/event/e68b1272-423b-43cb-b493-77ea17fcbb02?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
Ash Grunwald,2024-10-04,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/ash-grunwald/165587
Tribqu pres. Sandy B (live),2024-10-04,Miscellania,https://events.humanitix.com/tribqu-pres-sandy-b-live?hxchl=mkt-sch
Quiet Blue presents ‘A Million Miles’ Album Launch @ The Gaso (upstairs),2024-10-04,Gasometer (Upstairs),https://tickets.oztix.com.au/outlet/event/c2d17972-5bf6-4c5f-a4bf-23d2361184bd?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Gasometer (Upstairs)
Melbourne Ska Orchestra - Outlaws and Offbeats Tour,2024-10-04,170 Russell,https://www.moshtix.com.au/v2/event/melbourne-ska-orchestra-outlaws-and-offbeats-tour/168391
Karate Boogaloo & The Pro-Teens live at The Night Cat,2024-10-04,The Night Cat,https://www.moshtix.com.au/v2/event/karate-boogaloo-the-pro-teens-live-at-the-night-cat/168111
